adr,adults
88.2,2
165,2
114,1
79.5,2
132.8,2
120,2
79.5,2
120,2
144.2,2
107.2,2
120,2
120,2
163.8,3
98.5,2
130.5,2
153,1
98.5,2
119.7,2
184.6,2
181.22,2
100.86,2
100.2,2
134.25,2
96.3,2
83.09,2
105.5,2
134,1
8,2
146,2
126,2
111.15,2
136.2,2
101.8,2
127,2
161.5,2
230.67,2
65.7,1
180,2
168.57,2
107.67,2
96.9,2
107,2
73.41,2
109.9,2
109.9,2
187.5,3
134,1
91.5,2
132.44,2
106.9,2
131.86,2
216.13,2
107,2
107,2
107,2
107,2
107,2
190.33,2
107,2
94,1
0,2
98.75,2
148.23,3
94,1
107,2
107,2
148.23,3
0,1
107,2
107,2
107,2
107,2
98.75,2
195,2
120.6,2
123.2,2
112,1
123.2,2
169,2
198,2
103.5,2
135.6,2
103.5,2
184,2
134,2
147,2
151.33,2
121.33,2
150.2,2
139,2
150.2,1
75.44,2
135,2
166,2
135,2
130,2
96.3,2
160,1
0,2
127.25,2
164,2
144.5,2
112,2
134,2
127.25,2
155.5,2
110.5,2
144.5,2
144.5,2
123,2
120.6,2
107.6,1
120.6,2
107,2
133.75,2
103.5,2
84.8,1
107,2
107,1
84.8,1
107,2
195,3
164,2
195,2
125,2
195,2
132.3,2
145,2
92,2
132.3,2
147,2
167,2
210,3
194.9,2
103.5,2
118.5,2
192,2
128.27,2
135,2
126.3,2
154,2
96.3,2
126.3,2
136,2
118.5,2
116.33,2
164,3
147.67,2
145,2
147,2
168.3,2
167,2
137.75,2
145,2
132.6,2
147,2
157,2
210,2
132.5,2
98.02,2
126,2
173,2
249,2
186.5,1
95,1
241.5,2
177,2
153.73,2
115,2
127.03,2
128.25,2
128.25,2
115,2
135,2
167,2
135,2
124.5,2
98,2
98,2
135,2
88.2,2
120.6,2
154.5,2
145,2
92,2
154,2
115,2
110.53,1
158.5,2
131.37,2
117.71,2
123,2
158.5,2
117.84,2
154,2
116.85,2
129.16,2
214,2
115,2
123,2
123,2
195,2
135.2,2
123,2
130.5,2
123,1
179.1,2
0,1
0,2
115,2
115,2
103.5,2
157,2
135,2
111.65,2
135,2
195,2
104,2
135,2
214,2
133.17,2
141.33,2
121.01,2
240.64,2
167.5,2
152.43,2
148.34,2
167,2
172.93,2
179.1,2
192.5,2
92,2
111.2,2
141.6,2
141.6,2
141.6,2
200,2
200,2
157,2
99.5,1
115,2
195,2
103.5,2
207,3
163.33,3
151.86,2
95.57,3
112.05,2
160,2
103.18,2
153,2
119.75,2
135,2
167.69,2
195,2
135,2
178.4,2
0,2
0,2
154,2
134,2
112,1
194,2
153,2
135,2
184,2
210,2
139,2
101.46,2
145,2
173,2
217.05,3
164,2
173,2
112.5,2
153,2
173,2
153,2
134,2
153,2
233,2
154,2
173,2
135,2
132.5,2
222.67,3
135,2
107,2
127,2
135,2
149.7,2
161.25,2
107,2
75.44,2
75.44,2
115,2
159.2,2
163.29,2
210,2
154,2
166,2
132.5,2
107,2
121.98,3
0,2
133,2
107,2
117.81,2
107,2
120.6,2
147,2
153,2
153,2
134,2
153,2
118,2
134,2
135,2
158.77,2
134,2
134,2
142.03,2
240,2
134,2
134,2
147,2
176,2
120.6,2
166,2
134,2
147,2
167,2
107.2,2
131.63,1
233.05,3
90.12,2
120.6,2
125,1
154,2
120.6,2
114.25,2
107,2
88.55,2
149,2
195,3
164,2
154,2
120.6,2
103.5,2
115,2
95.02,2
132.5,2
209,3
95.02,2
132.5,2
180,2
103.18,2
174.01,2
133,2
133,2
107.2,2
0,2
210,2
145,2
195,2
124.2,1
167,2
145,2
166,2
115,2
166,2
120.6,2
162,2
153,2
133.2,2
134,2
107,2
145,2
145,2
107,2
167.2,2
134,2
130,2
164,2
149,2
154,2
195,2
134,2
107.2,2
164,2
183.45,3
159.6,2
120.6,2
164,2
219.43,2
134,2
164,2
107.2,2
102.72,2
114.85,2
114.85,2
135,2
195,2
173,2
107,2
107,2
164,2
138.8,2
154,2
135,2
103.18,2
115.5,2
90.95,2
0,2
108.54,2
146,2
165.4,2
134,2
133,2
240,3
157,2
188,2
133,2
145,2
134,2
134,2
186,2
90.95,2
141.65,2
99.24,2
108.06,2
90.95,2
148.63,2
173,2
107,1
114,1
153,2
153,2
250.33,3
146.67,2
154,2
120.6,2
280.74,2
193,2
146.67,2
154,2
154.5,2
120.6,2
137.8,2
160,2
125.89,2
125.89,2
126.71,2
0,1
0,2
188,2
153,2
173,2
173,2
120,1
154.8,2
192,2
153,2
120.6,2
192,2
120.6,2
164,2
219.5,2
192.5,2
149.7,2
111.92,2
120.6,2
149.7,2
173,2
112,2
57.6,1
214,2
172,2
157.8,1
170.33,2
119.25,2
96.3,2
118.06,2
118.06,2
154,2
202,2
134,2
202,2
252,2
233,2
211,2
211,2
237,2
188.29,2
120.6,2
177.14,2
222.14,2
127.82,2
194.14,2
120.6,2
144.53,2
185,3
96.3,2
193.13,2
210.78,2
169,2
174.7,2
135.53,2
172,1
144,2
162.5,2
209.6,2
209.6,2
195.5,3
186,2
163.5,2
180.28,2
174.76,2
116.85,2
159,2
104.55,2
0,2
144.76,2
205,2
123,2
173,2
220.55,2
162.14,2
119.7,2
77.54,1
120.6,2
153,2
0,2
0,2
172,2
221,1
153,2
230.5,2
230.5,2
211,2
241,2
211,2
90.95,2
188.29,2
90.95,2
187.8,2
0,3
0,2
172,2
171.9,2
200,2
149.4,2
154,2
148.25,2
172,2
183,2
242.6,2
172,3
168.71,2
166,2
112,1
172,2
120.6,2
126,2
268,2
173,2
149.2,2
217.2,2
239.3,3
181.5,2
154,2
173,2
181.9,3
0,2
114,2
267,2
226,2
173,2
211,2
191,2
173,2
173,2
277.5,2
134,2
153,2
186,2
107.2,2
221,2
202,2
169,2
133.5,2
154.38,2
154.38,2
205,2
121.39,2
171.9,2
164,2
134,2
250,2
208,2
181,2
172,2
157.59,2
211.75,2
246,2
108.54,2
186,2
205,2
154,2
200.71,2
252,2
135.2,2
276.43,2
228,2
133,2
205,2
134,2
119.7,2
90.95,2
138,2
134,2
173,1
165.69,2
195,2
127.31,2
134,2
207,2
211.5,2
210.33,2
211,2
154,2
145.4,2
101.25,1
179.38,2
166,2
202,2
172,2
277,2
104,2
133,2
214,2
130,2
154,2
106.4,2
133,2
120,1
0,2
254,2
192,2
221,2
120.6,2
211,2
147.6,2
129,2
205,2
147.07,2
107.2,2
179.1,2
164.65,2
200,2
134,2
233,2
190,4
196,2
185.57,2
175,2
175,2
169,2
0,2
0,2
134,2
211,2
134,2
120.6,2
120.6,2
112.5,1
164,2
120.6,2
154,2
207,1
214,2
186,2
154,2
162.3,3
186,2
241,2
274.93,2
156.73,2
156.73,2
134,2
134,2
211,2
200.7,2
142.26,2
196,2
129.41,2
98.02,2
120.6,2
191,1
191,2
252,2
157.08,2
258.33,2
211,2
211,2
133.21,2
173.5,2
90.95,1
90.95,2
90.95,2
134,2
120.6,2
172,2
184.45,2
158,3
184.45,2
120.6,2
114.14,2
168.8,2
178.33,2
255,2
178.33,2
196,2
87.91,2
211,2
187.2,2
154,2
243,1
222.2,2
243,2
178.2,1
107.2,2
0,2
203,2
173,2
172,2
120.6,2
172,2
266.4,3
236,2
271,2
232,2
223,2
178.67,3
133,2
195.5,2
167.25,2
209,2
166,2
195.8,2
229,3
160,2
266,2
96.3,2
107,2
262,2
182.5,2
157,2
234,2
242.5,2
157,2
158.4,2
208,2
183.45,3
131.2,3
133,2
135,2
133,2
248,2
209.2,3
107,2
299.33,2
156.45,3
135,2
149,2
107,2
135,2
135,2
145.75,2
132.6,2
200.71,2
198.71,2
218,3
101.65,2
186,2
160,2
188.71,2
107,2
181.94,2
172,1
172,1
185,2
172,1
172,1
184.45,2
195,2
172,1
172,1
153,2
184.45,2
184.45,2
185,2
108.54,2
154,2
248,2
150.53,2
150.53,2
154,2
223.99,2
154,2
154,2
154,2
214,2
96.3,2
175.79,2
134,2
134,2
183,2
149.4,2
165.11,3
209.4,3
134,2
225.9,2
131.1,2
134,2
187,2
133,2
101.65,2
133,2
120,1
133,2
133,2
133,2
134,2
87.9,2
202,2
213,2
172.55,2
172,2
172,2
213,2
179,2
236,2
229.67,2
135.2,2
121.5,2
96.3,2
96.3,2
120.6,2
176.64,3
179.86,2
187,2
134,2
239.5,2
0,3
153,3
166,2
186.25,2
192,2
120.6,2
220.4,3
241,1
241,2
211,2
134,2
241,2
8,2
196,2
198,2
0,2
158.5,2
0,2
200,1
107,2
163.23,3
222.07,3
229,2
133,2
164,2
176.8,2
134,2
163.35,2
171.9,2
171.9,2
213.5,2
125,1
178.33,2
176.75,2
123,2
134,2
146,2
192,2
183,2
236,2
191,2
178.33,2
248,3
188.71,2
123.04,2
260.71,3
222,2
174.71,2
118.7,2
116.85,2
129.55,2
172,2
172,2
164,2
179.83,2
172,2
160.43,2
149,2
134,2
146.3,2
161.26,2
195.45,3
133,2
186.25,2
162.29,2
221.43,2
177.57,2
133,2
178,2
146.3,2
218.5,2
151.89,2
148.3,2
96.3,2
166,2
96.3,2
149,2
151.95,2
191.67,2
211,2
149.4,2
201,2
211,2
259,3
164.4,2
134,2
134,2
229,2
199,3
112.5,1
194,2
149.4,2
155.77,2
131.7,2
174.71,2
101.65,2
206,2
134,2
201.5,2
134,2
138.79,1
122,1
113.47,2
99.5,1
153,2
233,3
153,2
192,2
132.6,2
171.9,2
154,2
172,2
191,2
148.25,2
164,2
231.6,3
261.4,2
199.4,2
209.6,2
199.4,1
150.83,1
129.27,1
129.27,2
133.76,2
197.7,2
196,3
164,2
154,2
219.33,2
200.8,2
130.2,2
189.67,2
186.13,2
158.38,1
166,2
149,2
206.6,2
120.6,2
112.5,1
0,2
193,2
96.3,2
137.7,2
112,2
116.85,2
173.5,2
173.5,2
129.15,2
192.2,2
202.77,2
111.27,2
211,2
153,2
154,2
134,2
157.67,2
133,2
112.34,2
124.5,2
107,2
133,2
191,2
172.6,2
79.5,2
120.27,2
118.29,2
75.53,2
8,2
8,2
90.39,2
155.86,2
118.29,2
115,2
110.7,2
110.7,2
120.38,2
195,2
120.6,2
176,3
120.6,2
112.05,2
180.55,2
179,2
181,2
122,2
195,2
184,2
152,2
127.67,2
127.67,2
114.13,2
113.7,2
120.6,2
165,2
120.6,2
164,2
208,2
166.5,2
101.16,2
130.6,2
145,2
158,2
109.83,2
141.67,2
175,2
98.63,2
166.14,2
150.71,2
97.74,2
189.86,2
97.5,2
123.11,2
104.8,2
164,2
134,2
146,2
103.18,1
103.18,2
164,2
142.5,2
77.5,2
135.2,2
149,2
140.4,2
112,2
173.25,3
121.5,2
122.86,2
130.9,2
146,2
154,2
103.5,2
103.5,2
129.33,2
115.2,2
71.72,2
106.8,2
71.69,2
136.2,2
112.33,2
112.33,2
157.67,2
165,2
113.43,1
161.29,2
167.86,2
103.07,2
161.29,2
96.3,2
92.86,2
128,3
115.2,2
80.55,1
120.33,2
126.67,2
130.33,2
75.46,2
96.33,2
117.83,2
120.33,2
98,2
155.5,2
122.6,2
105.5,2
101.44,2
160,2
120.5,2
126.29,2
87.75,2
113.55,2
123,2
98,2
151,2
134.67,2
153,2
137.67,2
111,2
123,2
119,2
155,2
109,2
158,2
128,2
113,2
113,2
93.12,2
128,2
93.12,2
110.7,1
101.03,2
120.71,2
82.72,1
131,2
120.71,2
110.71,2
136,2
186,2
114.19,2
186,2
86.95,2
113,2
82.88,2
134,1
155,2
146,2
155,2
154.25,2
71.69,2
71.69,2
150.71,3
57,2
153,2
153,2
131.4,2
90.4,2
88.2,2
88.2,2
65.5,2
88.2,2
211,2
80,1
88.2,2
88.2,2
88.2,2
0,40
109.5,2
144.9,2
79.5,2
124.5,2
123,2
0,2
113,2
123,2
166,2
79.5,2
79.5,2
79.5,2
91.46,2
153,2
62.48,2
124.1,2
117.9,2
143,2
131,2
128,3
167,2
153,2
172,2
123,2
146,2
79.5,2
116.8,1
155,2
79.5,2
135,2
116.8,1
176,3
151.25,2
168,2
123,2
151.88,2
153,2
104.8,2
183,2
120,2
97.5,2
143.5,2
163,1
123,2
171,2
171,2
143,2
0,26
156,2
139.5,2
113,2
154.14,2
98,2
113,2
107.5,2
124.8,2
153,2
131,2
111.5,2
98,2
123,2
153,2
123,2
197,2
97.5,2
97.5,2
87.75,2
83.7,2
91.77,2
0,1
128,2
98,2
71.69,2
114.5,2
149,2
123,2
117.8,2
98,2
198,2
124.8,2
98,2
89,1
128,2
146,2
131,2
98,2
161,3
79.5,2
126.29,2
105.5,2
208.14,3
103.85,2
79.5,2
113,2
163,2
107.5,2
97.5,2
113,2
66.15,2
99.8,1
111.96,2
139.18,2
83.15,2
0,50
77.6,2
144.9,2
161,2
131,2
131,2
188,2
64.29,2
98,2
123,2
117.29,1
98,2
0,2
75.96,2
83.5,2
131,2
84.47,2
84.47,2
84.47,2
156,2
98,2
117.9,2
98,2
101.53,2
97.54,2
91.5,2
113,2
58.95,2
133,2
76.5,2
146,1
146,2
80,1
68.5,2
146,2
124.8,2
131,2
146,2
134,1
86.69,1
124.4,2
65.7,1
77.7,1
59,2
76.5,2
82,2
92.67,2
82,2
115.4,1
158.4,2
108,2
87.05,2
70.98,2
119.7,2
73.8,2
87.05,2
87.05,2
82.44,2
153,2
57.54,2
120.43,2
131,2
0,1
75.46,3
82,2
75.46,2
208,2
106.25,2
70.48,2
85,2
83.5,2
48.88,2
73.5,2
101.5,2
133,1
87.05,2
118.2,2
66.15,2
50.15,2
112.42,1
131,2
68.5,2
104.8,2
117.9,2
134,1
113,2
138.5,2
146,2
133,2
153,3
131,2
135,2
111.2,2
57.5,2
58.95,2
77.11,2
97.99,2
51.75,2
89,1
153,2
141.5,2
36,2
59.13,1
66.6,2
129,2
82,2
58.05,1
95.86,2
68.45,2
0,26
131.14,2
72.25,2
53.1,2
123,2
110.7,2
73.8,2
127.75,2
110.75,2
91,2
122.75,2
91,2
132.6,2
124,2
138.6,2
107,2
70.2,2
66.15,2
93.21,2
53.1,2
53.1,2
105,2
66.15,2
79.5,2
73.5,2
58.5,1
132,2
120,2
73.5,2
212.83,2
120.08,2
77.2,2
160.8,2
76.67,2
100.5,2
89,2
95,2
103.51,2
82,2
160,2
146,2
0,1
68.4,2
55.79,2
103.8,2
99,2
122.14,2
90.14,2
103.8,2
73.5,2
68.88,2
74.53,2
71.66,2
74,2
74,2
66.6,2
8,2
62,2
79,2
65,1
58.5,1
55,1
74,2
86,2
129,2
129,2
129,2
83,2
74,2
77.75,2
74,2
66.6,2
150.25,2
92,2
85.5,2
71.2,2
81.5,2
71.2,2
89,2
89,2
66.6,2
71.2,2
66.6,2
0,2
111,2
106.2,2
83,2
65,1
65,1
65,1
65,1
65,1
74,2
89,2
83,2
65,1
74,1
84.71,2
59.2,2
114,2
73.5,2
109.71,2
90.43,2
80.63,2
45.9,2
120,2
114,2
81.6,2
83,2
113,2
81.2,2
59.2,2
126,2
99.5,2
99,2
73.5,2
85,2
87.33,2
75.1,2
59,1
122,2
120,2
162,2
83,2
152,2
114,2
127,2
69.83,2
102.93,2
65.1,2
96.26,3
124.74,2
0,26
89,2
104,2
59.2,2
138.29,2
59.2,2
125.71,2
66.6,2
116,2
95.4,2
100.93,2
66.6,2
74.93,2
58.98,2
66.6,2
58.93,2
103.22,3
42.5,2
68.5,2
55.64,2
26,2
64,1
64,1
74,2
26,2
26,2
90,2
26,2
99,2
90,2
90,2
79,2
89,2
0,27
72,1
89,2
59.02,2
79.5,2
74.93,2
89.14,2
53.69,2
114.48,2
73.98,2
99.5,2
99.5,2
59.2,2
65.64,2
89,2
79,2
74,2
84.71,2
75.43,2
77.73,2
74,2
80.63,2
129,2
140.63,2
73.5,2
108.65,2
75.65,2
108.85,2
75.65,2
75.65,2
114,2
56.98,2
0,1
0,1
74.8,2
89,2
114,2
87.86,2
130.5,3
64,2
112,2
75.5,2
89,2
80.1,2
97.2,2
0,27
76.3,2
74.7,2
55.43,2
48.54,2
83.8,2
43.93,2
129,3
80.1,2
80,1
173,2
80,1
89,2
108.5,2
136.5,2
83,2
96.5,2
142.5,2
95,2
89,2
89,2
109,2
89.06,2
72.14,2
90.49,2
53.68,2
85.5,2
89.06,2
80.08,2
89,2
114,2
119,2
104.72,2
73.35,2
74,2
79,2
79,2
94,2
116,2
82.8,2
73.5,2
0,26
128.42,2
55.09,2
93.86,2
69.13,2
122,2
88.4,2
94.5,2
78.6,2
85.08,2
55.43,2
93.43,2
36.13,2
55.43,2
66.29,2
90.74,2
66.29,2
38.25,2
106.31,2
74.2,2
93.2,2
83.67,2
42.23,1
68.53,1
86.1,2
63.14,2
74.6,2
60.5,1
69.5,2
55.44,2
44.5,2
55.44,2
55.44,1
55.44,2
99.5,2
108.09,2
68,2
78.1,2
70.5,2
76.5,2
66.8,2
39.24,2
48.78,1
62,2
54.4,1
56.59,2
59.03,2
62,2
148.12,2
44.5,2
54.4,1
44.5,2
81.45,2
81.75,2
81.45,2
48.8,2
80.1,2
106,2
104,1
90.1,2
55.5,2
58.5,1
58.5,1
73,2
55.8,2
58.5,1
58.5,1
73,2
73,2
67.5,1
13,1
64.33,2
79.83,2
100.33,2
44.5,2
71.93,2
52.73,2
58.57,2
48,2
62.43,2
52.73,2
44.27,2
58.57,2
54.4,1
120,3
68.4,2
118.5,2
87,2
48.3,1
93,1
65,2
56,2
65,2
66,2
86,2
74.4,1
74.23,2
103,2
82,2
77,1
69.93,2
43.93,2
57.43,2
36.74,2
63.08,2
47,2
50.4,2
55.43,2
76,2
56,2
78,2
0,2
117,2
106,2
47,2
56,2
106,2
44.5,2
77,1
50.4,2
44.5,2
59.4,2
55.43,2
44.5,2
42.23,1
72,2
60.9,2
67.25,2
63.9,2
74,1
36.05,2
36.05,2
36.05,2
36.05,2
42.3,1
90,1
67,2
110,2
36.05,2
36.05,2
58,2
58,2
38.07,1
40.07,1
38.07,1
81.6,2
59.29,1
38.07,1
40.07,1
59.4,2
77,2
74.14,2
116,2
86,2
50.4,2
40.96,2
44.8,2
93.43,2
47.33,2
83.05,2
87.43,2
0,26
68.16,2
66,2
56,2
136.71,2
51.3,2
92.6,2
47,1
56,2
0,55
56,2
117,2
122,2
63.66,2
68.43,2
60.4,2
78.2,2
44.5,2
44.5,2
44.5,2
44.5,2
44.5,2
44.5,2
44.5,2
44.5,2
44.5,2
44.5,2
44.5,2
44.5,2
41.25,2
40.05,2
117,2
107.43,2
57.67,2
63.47,2
60.3,2
61.5,2
88,2
56.95,2
67,2
54.5,2
67,2
54.72,2
83.6,2
73,2
86,2
86,2
86,2
86,2
65.45,2
71.67,2
37,1
37,1
37,1
0,2
52.2,1
43.12,2
66,2
106,2
56,2
0,0
62.8,2
87,2
96.67,2
0,20
0,6
118,2
0,5
98.4,2
43.3,2
58,1
58,1
58,1
58,1
58,1
66.3,2
0,2
47,1
0,3
67,2
49.01,2
64.29,2
47,1
41.6,2
55.43,2
48.74,2
55.43,2
68.86,2
67,1
68.43,1
47,1
40,1
67,2
67,2
47,1
87,2
67.5,2
73.67,2
50,2
50,2
73.66,2
50,2
56,2
48,1
45,2
50,2
67,2
71,2
45,2
50,2
66,2
45,2
71,2
85,2
41.37,1
0,1
53.37,2
44.5,2
48.57,2
77.43,2
123.56,2
62.47,2
58,1
48,1
67,2
56,2
56,2
42,1
67.5,2
89,2
50,1
50,2
56,2
92,2
92,2
92,2
92,2
92,2
92,2
43.12,2
92,2
92,2
104.67,2
113.33,2
50,2
50,2
67,2
72.8,2
92,2
92,2
92,2
92,2
92,2
92,2
92,2
92,2
92,2
92,2
92,2
92,2
92,2
54.02,2
63.33,2
83.33,2
92,2
92,2
92,2
43.12,2
78.8,2
55.73,1
44.5,2
92,2
92,2
92,2
92,2
83,2
67,2
77,2
71.5,2
70.4,2
73.68,2
82,2
56,2
45,2
45,2
60.3,2
67.5,2
61.5,2
107.5,2
101.5,2
76.35,2
49.2,2
82.35,2
111.5,2
67.5,2
117,2
77.5,2
102.5,2
101.5,2
101.5,2
61.35,2
61.35,2
49.2,2
90,2
36.05,2
36.05,2
36.05,2
36.05,2
36.05,2
36.05,2
36.05,2
36.05,2
36.05,2
36.05,2
4,1
36.05,2
36.05,2
36.05,2
98,2
79.22,2
106,2
50.4,2
66,2
50.4,2
46.5,2
50.4,2
66,2
56,2
82,2
50.4,2
37.6,1
56.4,2
67,2
56.4,2
42.3,1
50.4,2
56,2
50.4,2
42.3,1
56.52,2
58.24,2
69.85,1
92.71,2
0,1
0,2
0,0
48,2
53,2
48,2
37,1
56,2
48,1
61.28,2
0,10
0,20
0,5
79,2
74.28,2
47,1
50.4,2
56,1
8,2
56,2
47,1
117,2
107.43,2
73.38,2
117,2
37.6,1
42.3,1
56,2
37.6,1
56,2
42.3,1
64.5,2
0,2
43,1
111.5,2
33.3,2
0,2
0,2
0,2
73,2
44.5,2
0,1
44.5,2
98.4,2
70,1
75,2
57.83,2
68.57,2
67,2
81.5,2
54.77,2
45.56,2
59.4,2
108,2
56,2
56,2
65,2
42.5,2
50.05,2
86.5,2
67.92,2
43.93,2
45,2
55.14,2
38.25,2
55,2
81.34,2
40.5,2
40.5,2
37,1
56,2
37,2
37,2
68.4,2
39,1
86,2
62,2
92,2
40.23,2
76.8,2
76.8,2
76.8,2
58.4,1
76.8,2
76.8,2
76.8,2
76.8,2
76.8,2
56,2
76.8,2
76.8,2
76.8,2
76.8,2
76.8,2
76.8,2
76.8,2
76.8,2
76.8,2
57,2
76.8,2
76.8,2
76.8,2
58.4,1
76.8,2
79.63,2
37.56,2
36.9,2
70,2
62,2
67.56,2
56,2
56,2
66,2
75,2
47,1
67.15,3
88.67,3
95,2
113.33,3
36,2
54.4,2
36,1
42.3,1
0,1
0,1
37,1
8,2
0,2
95,2
0,2
70,2
70,2
60,1
34.65,2
56,2
41.98,2
40.05,2
61,2
66,2
34.65,2
45.55,2
55,2
59.4,2
86,2
66.43,2
47,1
112.29,2
55,2
70,2
59.4,2
40.5,2
61.6,2
42.5,2
82,2
81,2
60,2
43.93,2
42.5,2
36,2
60,2
36,1
55,2
40.5,1
50.4,2
40.5,2
55,2
36,1
55,2
55,2
81.5,2
56.4,1
42.5,2
55.43,2
70.31,2
104.67,2
76,2
76,2
76,2
56,2
66,1
82,2
56,2
77,2
50.4,2
73,2
72,2
56,2
56,2
0,1
56,2
64,2
66,2
56,2
70,2
34.65,2
58,2
34.65,2
44.5,2
44.5,2
38.92,2
119.43,2
47,1
56,2
56,2
56,2
47,1
106,2
99.5,3
52.51,2
49.8,1
73,2
96,2
47,1
56,2
106,2
66.3,2
45,2
39,1
47,2
47,2
39,1
39,1
39,1
47,2
47,2
47,2
39,1
39,1
47,2
47,2
39,1
39,1
47,2
47,2
39,1
39,1
66,2
47,2
47,2
47,2
39,1
39,1
39,1
66,2
47,2
47,2
47,2
39,1
39,1
47,2
47,2
47,2
39,1
39,1
39,1
65,2
76,2
45,2
66,2
54,2
45,2
42.05,2
47,2
52,2
65,2
96.67,2
76,2
76,2
42.5,2
34.56,2
63.82,2
66,2
47,2
47,2
39,1
39,1
39,1
67,2
106,2
36,2
44.8,1
69.93,2
47,2
75,2
0,2
54,2
48.6,2
48.6,2
66,2
36,1
52.2,1
36,1
36,1
36,1
36,1
36,1
43.2,2
45,1
66,2
48,2
45,1
36,2
49.2,2
72.5,2
48,2
58,2
72.5,2
39,1
56,2
77,2
70.2,2
49.01,2
48,2
48,1
77.4,2
48,1
63.76,1
69.76,1
63.76,1
65.19,1
48,1
39,1
48,2
39,1
35.1,1
41.1,2
48,2
48,1
48,2
42,2
48,2
36,2
36,2
56.02,2
36,2
76,1
48,2
56,2
48,2
36,2
36,2
56,2
42,2
42,2
76,2
54,2
0,1
36,2
72,2
48,2
41.45,2
47.45,2
36,2
47.12,1
54,2
45.66,2
36,2
37.4,2
49.74,2
0,1
50.4,2
36,2
36,2
36,2
36,2
36,2
36,2
36,2
56,2
72,1
44.5,2
49,2
36,2
48,2
49,2
36,1
36,2
36,2
36,2
58,2
36,2
42,2
36,2
36,2
36,2
36,1
36,2
36,2
36,2
44.5,2
36,1
37,1
36,2
38.81,2
36,1
39.2,2
36,2
36,2
36,2
36,2
